resolution,aspect_ratio,orientation,scale,raw_width_after_scale,raw_height_after_scale,output_width,output_height,width_delta,height_delta,rounded_axes
2K,2:3,Landscape,1.2,2133.333333,1426.666667,2128,1424,-5.333333,-2.666667,width+height
2K,2:3,Landscape,1.3,1969.230769,1316.923077,1968,1312,-1.230769,-4.923077,width+height
2K,2:3,Landscape,1.4,1828.571429,1222.857143,1824,1216,-4.571429,-6.857143,width+height
2K,2:3,Landscape,1.5,1706.666667,1141.333333,1712,1136,5.333333,-5.333333,width+height
2K,2:3,Landscape,1.6,1600.000000,1070.000000,1600,1072,0.000000,2.000000,height
2K,2:3,Landscape,1.7,1505.882353,1007.058824,1504,1008,-1.882353,0.941176,width+height
2K,2:3,Landscape,1.8,1422.222222,951.111111,1424,944,1.777778,-7.111111,width+height
2K,2:3,Landscape,1.9,1347.368421,901.052632,1344,896,-3.368421,-5.052632,width+height
2K,2:3,Landscape,2.0,1280.000000,856.000000,1280,864,0.000000,8.000000,height
2K,2:3,Portrait,1.1,1556.363636,2327.272727,1552,2320,-4.363636,-7.272727,width+height
2K,2:3,Portrait,1.2,1426.666667,2133.333333,1424,2128,-2.666667,-5.333333,width+height
2K,2:3,Portrait,1.3,1316.923077,1969.230769,1312,1968,-4.923077,-1.230769,width+height
2K,2:3,Portrait,1.4,1222.857143,1828.571429,1216,1824,-6.857143,-4.571429,width+height
2K,2:3,Portrait,1.5,1141.333333,1706.666667,1136,1712,-5.333333,5.333333,width+height
2K,2:3,Portrait,1.6,1070.000000,1600.000000,1072,1600,2.000000,0.000000,width
2K,2:3,Portrait,1.7,1007.058824,1505.882353,1008,1504,0.941176,-1.882353,width+height
2K,2:3,Portrait,1.8,951.111111,1422.222222,944,1424,-7.111111,1.777778,width+height
2K,2:3,Portrait,1.9,901.052632,1347.368421,896,1344,-5.052632,-3.368421,width+height
2K,2:3,Portrait,2.0,856.000000,1280.000000,864,1280,8.000000,0.000000,width
2K,3:4,Landscape,1.1,2327.272727,1745.454545,2320,1744,-7.272727,-1.454545,width+height
2K,3:4,Landscape,1.2,2133.333333,1600.000000,2128,1600,-5.333333,0.000000,width
2K,3:4,Landscape,1.3,1969.230769,1476.923077,1968,1472,-1.230769,-4.923077,width+height
2K,3:4,Landscape,1.4,1828.571429,1371.428571,1824,1376,-4.571429,4.571429,width+height
2K,3:4,Landscape,1.5,1706.666667,1280.000000,1712,1280,5.333333,0.000000,width
2K,3:4,Landscape,1.7,1505.882353,1129.411765,1504,1136,-1.882353,6.588235,width+height
2K,3:4,Landscape,1.8,1422.222222,1066.666667,1424,1072,1.777778,5.333333,width+height
2K,3:4,Landscape,1.9,1347.368421,1010.526316,1344,1008,-3.368421,-2.526316,width+height
2K,3:4,Portrait,1.1,1745.454545,2327.272727,1744,2320,-1.454545,-7.272727,width+height
2K,3:4,Portrait,1.2,1600.000000,2133.333333,1600,2128,0.000000,-5.333333,height
2K,3:4,Portrait,1.3,1476.923077,1969.230769,1472,1968,-4.923077,-1.230769,width+height
2K,3:4,Portrait,1.4,1371.428571,1828.571429,1376,1824,4.571429,-4.571429,width+height
2K,3:4,Portrait,1.5,1280.000000,1706.666667,1280,1712,0.000000,5.333333,height
2K,3:4,Portrait,1.7,1129.411765,1505.882353,1136,1504,6.588235,-1.882353,width+height
2K,3:4,Portrait,1.8,1066.666667,1422.222222,1072,1424,5.333333,1.777778,width+height
2K,3:4,Portrait,1.9,1010.526316,1347.368421,1008,1344,-2.526316,-3.368421,width+height
2K,16:9,Landscape,1.1,2327.272727,1309.090909,2320,1312,-7.272727,2.909091,width+height
2K,16:9,Landscape,1.2,2133.333333,1200.000000,2128,1200,-5.333333,0.000000,width
2K,16:9,Landscape,1.3,1969.230769,1107.692308,1968,1104,-1.230769,-3.692308,width+height
2K,16:9,Landscape,1.4,1828.571429,1028.571429,1824,1024,-4.571429,-4.571429,width+height
2K,16:9,Landscape,1.5,1706.666667,960.000000,1712,960,5.333333,0.000000,width
2K,16:9,Landscape,1.6,1600.000000,900.000000,1600,896,0.000000,-4.000000,height
2K,16:9,Landscape,1.7,1505.882353,847.058824,1504,848,-1.882353,0.941176,width+height
2K,16:9,Landscape,1.8,1422.222222,800.000000,1424,800,1.777778,0.000000,width
2K,16:9,Landscape,1.9,1347.368421,757.894737,1344,752,-3.368421,-5.894737,width+height
2K,16:9,Portrait,1.1,1309.090909,2327.272727,1312,2320,2.909091,-7.272727,width+height
2K,16:9,Portrait,1.2,1200.000000,2133.333333,1200,2128,0.000000,-5.333333,height
2K,16:9,Portrait,1.3,1107.692308,1969.230769,1104,1968,-3.692308,-1.230769,width+height
2K,16:9,Portrait,1.4,1028.571429,1828.571429,1024,1824,-4.571429,-4.571429,width+height
2K,16:9,Portrait,1.5,960.000000,1706.666667,960,1712,0.000000,5.333333,height
2K,16:9,Portrait,1.6,900.000000,1600.000000,896,1600,-4.000000,0.000000,width
2K,16:9,Portrait,1.7,847.058824,1505.882353,848,1504,0.941176,-1.882353,width+height
2K,16:9,Portrait,1.8,800.000000,1422.222222,800,1424,0.000000,1.777778,height
2K,16:9,Portrait,1.9,757.894737,1347.368421,752,1344,-5.894737,-3.368421,width+height
2K,21:9,Landscape,1.1,3127.272727,1309.090909,3120,1312,-7.272727,2.909091,width+height
2K,21:9,Landscape,1.2,2866.666667,1200.000000,2864,1200,-2.666667,0.000000,width
2K,21:9,Landscape,1.3,2646.153846,1107.692308,2640,1104,-6.153846,-3.692308,width+height
2K,21:9,Landscape,1.4,2457.142857,1028.571429,2464,1024,6.857143,-4.571429,width+height
2K,21:9,Landscape,1.5,2293.333333,960.000000,2288,960,-5.333333,0.000000,width
2K,21:9,Landscape,1.6,2150.000000,900.000000,2144,896,-6.000000,-4.000000,width+height
2K,21:9,Landscape,1.7,2023.529412,847.058824,2016,848,-7.529412,0.941176,width+height
2K,21:9,Landscape,1.8,1911.111111,800.000000,1904,800,-7.111111,0.000000,width
2K,21:9,Landscape,1.9,1810.526316,757.894737,1808,752,-2.526316,-5.894737,width+height
2K,21:9,Landscape,2.0,1720.000000,720.000000,1728,720,8.000000,0.000000,width
2K,21:9,Portrait,1.1,1309.090909,3127.272727,1312,3120,2.909091,-7.272727,width+height
2K,21:9,Portrait,1.2,1200.000000,2866.666667,1200,2864,0.000000,-2.666667,height
2K,21:9,Portrait,1.3,1107.692308,2646.153846,1104,2640,-3.692308,-6.153846,width+height
2K,21:9,Portrait,1.4,1028.571429,2457.142857,1024,2464,-4.571429,6.857143,width+height
2K,21:9,Portrait,1.5,960.000000,2293.333333,960,2288,0.000000,-5.333333,height
2K,21:9,Portrait,1.6,900.000000,2150.000000,896,2144,-4.000000,-6.000000,width+height
2K,21:9,Portrait,1.7,847.058824,2023.529412,848,2016,0.941176,-7.529412,width+height
