resolution,aspect_ratio,orientation,scale,expected_target_width,expected_target_height,raw_width_after_scale,raw_height_after_scale,output_width,output_height,actual_target_width,actual_target_height,target_delta_width,target_delta_height,target_delta,rounded,rounded_axes,width_delta,height_delta
1K,3:4,Portrait,1.3,1440,1920,1107.692308,1476.923077,1104,1472,1435,1914,-5,-6,"-5W, -6H",yes,width+height,-3.692308,-4.923077
1K,3:4,Portrait,1.4,1440,1920,1028.571429,1371.428571,1024,1376,1434,1926,-6,6,"-6W, +6H",yes,width+height,-4.571429,4.571429
1K,3:4,Portrait,1.5,1440,1920,960.000000,1280.000000,960,1280,1440,1920,0,0,0,no,,0.000000,0.000000
1K,3:4,Portrait,1.6,1440,1920,900.000000,1200.000000,896,1200,1434,1920,-6,0,-6W,yes,width,-4.000000,0.000000
1K,3:4,Portrait,1.7,1440,1920,847.058824,1129.411765,848,1136,1442,1931,2,11,"+2W, +11H",yes,width+height,0.941176,6.588235
1K,3:4,Portrait,1.8,1440,1920,800.000000,1066.666667,800,1072,1440,1930,0,10,+10H,yes,height,0.000000,5.333333
1K,3:4,Portrait,1.9,1440,1920,757.894737,1010.526316,752,1008,1429,1915,-11,-5,"-11W, -5H",yes,width+height,-5.894737,-2.526316
1K,3:4,Portrait,2.0,1440,1920,720.000000,960.000000,720,960,1440,1920,0,0,0,no,,0.000000,0.000000
1K,16:9,Landscape,1.0,1920,1080,1920.000000,1080.000000,1920,1088,1920,1088,0,8,+8H,yes,height,0.000000,8.000000
1K,16:9,Landscape,1.1,1920,1080,1745.454545,981.818182,1744,976,1918,1074,-2,-6,"-2W, -6H",yes,width+height,-1.454545,-5.818182
1K,16:9,Landscape,1.2,1920,1080,1600.000000,900.000000,1600,896,1920,1075,0,-5,-5H,yes,height,0.000000,-4.000000
1K,16:9,Landscape,1.3,1920,1080,1476.923077,830.769231,1472,832,1914,1082,-6,2,"-6W, +2H",yes,width+height,-4.923077,1.230769
1K,16:9,Landscape,1.4,1920,1080,1371.428571,771.428571,1376,768,1926,1075,6,-5,"+6W, -5H",yes,width+height,4.571429,-3.428571
1K,16:9,Landscape,1.5,1920,1080,1280.000000,720.000000,1280,720,1920,1080,0,0,0,no,,0.000000,0.000000
1K,16:9,Landscape,1.6,1920,1080,1200.000000,675.000000,1200,672,1920,1075,0,-5,-5H,yes,height,0.000000,-3.000000
1K,16:9,Landscape,1.7,1920,1080,1129.411765,635.294118,1136,640,1931,1088,11,8,"+11W, +8H",yes,width+height,6.588235,4.705882
