index,resolution,aspect_ratio,orientation,scale,expected_output_width,expected_output_height,actual_output_width,actual_output_height,output_ok,expected_target_width,expected_target_height,actual_target_width,actual_target_height,target_ok,prompt_id
64,1K,3:4,Portrait,1.8,800,1072,800,1072,true,1440,1930,1440,1930,true,81766ce6-35cb-454b-89a1-cd1d3791f580
65,1K,3:4,Portrait,1.9,760,1016,760,1016,true,1444,1930,1444,1930,true,1197b8f9-1125-40c6-9dd0-3df497ab0e11
66,1K,3:4,Portrait,2.0,720,960,720,960,true,1440,1920,1440,1920,true,bea6eb81-75d4-4abd-9aab-bf080156a2af
67,1K,16:9,Landscape,1.0,1920,1080,1920,1080,true,1920,1080,1920,1080,true,3e946a21-b1c8-43c1-8bae-e53bdff4a99a
68,1K,16:9,Landscape,1.1,1752,984,1752,984,true,1927,1082,1927,1082,true,6e6c1226-efd6-4d88-bcfc-7ce2fcd61332
69,1K,16:9,Landscape,1.2,1600,904,1600,904,true,1920,1085,1920,1085,true,08bbaaa5-710c-4740-b408-4aeef43259ca
70,1K,16:9,Landscape,1.3,1480,832,1480,832,true,1924,1082,1924,1082,true,ec6be419-067d-4a40-97d6-9cbba71e4ac3
71,1K,16:9,Landscape,1.4,1376,776,1376,776,true,1926,1086,1926,1086,true,5d8f7857-16b4-4aaf-87a4-7fb0ac3d6409
72,1K,16:9,Landscape,1.5,1280,720,1280,720,true,1920,1080,1920,1080,true,8a189cc2-bed3-492b-863a-357c714e3235
73,1K,16:9,Landscape,1.6,1200,680,1200,680,true,1920,1088,1920,1088,true,f68c8f72-9f62-4963-b7f7-92a0270cdb30
74,1K,16:9,Landscape,1.7,1136,640,1136,640,true,1931,1088,1931,1088,true,1aebef41-f257-40ef-9e8d-849ead044f14
75,1K,16:9,Landscape,1.8,1072,600,1072,600,true,1930,1080,1930,1080,true,4ca66315-b7e0-4ba8-a7ab-2e6b80a6773c
76,1K,16:9,Landscape,1.9,1016,576,1016,576,true,1930,1094,1930,1094,true,5b3fd60d-fa37-48e3-8a61-524fdd00731a
77,1K,16:9,Landscape,2.0,960,544,960,544,true,1920,1088,1920,1088,true,126e0df4-2871-4a17-84cf-9a8daf1b9cc1
78,1K,16:9,Portrait,1.0,1080,1920,1080,1920,true,1080,1920,1080,1920,true,8beb879c-4a3b-4ba4-a2c5-da6a15c41e80
79,1K,16:9,Portrait,1.1,984,1752,984,1752,true,1082,1927,1082,1927,true,704d25ad-238b-4bd7-bf4a-a31f951c1191
80,1K,16:9,Portrait,1.2,904,1600,904,1600,true,1085,1920,1085,1920,true,4da6d1bf-e784-4433-874d-494fe00ed950
81,1K,16:9,Portrait,1.3,832,1480,832,1480,true,1082,1924,1082,1924,true,34c84a6c-e6c6-44fe-9427-4cdd13d1ab3a
82,1K,16:9,Portrait,1.4,776,1376,776,1376,true,1086,1926,1086,1926,true,3969779c-ec3b-456b-a558-908238f6c13f
83,1K,16:9,Portrait,1.5,720,1280,720,1280,true,1080,1920,1080,1920,true,c7498fcd-47f4-42b7-a4f6-040429218274
84,1K,16:9,Portrait,1.6,680,1200,680,1200,true,1088,1920,1088,1920,true,921fcc08-b6cb-4c3f-bbc4-09e613624587
85,1K,16:9,Portrait,1.7,640,1136,640,1136,true,1088,1931,1088,1931,true,3eb917d6-f9bc-4c16-b10e-7d2b4a40a2a8
86,1K,16:9,Portrait,1.8,600,1072,600,1072,true,1080,1930,1080,1930,true,179eeee8-aeda-4590-bedc-991a30c30544
87,1K,16:9,Portrait,1.9,576,1016,576,1016,true,1094,1930,1094,1930,true,4b7fc529-498d-4c43-8659-da0465862d7e
88,1K,16:9,Portrait,2.0,544,960,544,960,true,1088,1920,1088,1920,true,2964df78-19fe-414e-b4be-dc56ff8efc70
89,1K,21:9,Landscape,1.0,2560,1088,2560,1088,true,2560,1088,2560,1088,true,1650b453-e39a-44a0-bc67-2225a49cb58f
90,1K,21:9,Landscape,1.1,2328,992,2328,992,true,2561,1091,2561,1091,true,2b9b39da-324a-4fe5-855e-3a5fdca8dc90
91,1K,21:9,Landscape,1.2,2136,912,2136,912,true,2563,1094,2563,1094,true,92d870e9-1bc3-47b9-950f-c94e4927125d
92,1K,21:9,Landscape,1.3,1976,840,1976,840,true,2569,1092,2569,1092,true,a15fc8bc-8d8b-4fe0-94f3-61220729af45
93,1K,21:9,Landscape,1.4,1832,784,1832,784,true,2565,1098,2565,1098,true,ad05edae-827f-465a-b5e6-76e7ee757505
94,1K,21:9,Landscape,1.5,1712,728,1712,728,true,2568,1092,2568,1092,true,405250a4-d22f-4f17-86fd-7c2361075ea2
95,1K,21:9,Landscape,1.6,1600,680,1600,680,true,2560,1088,2560,1088,true,3d3e2770-04f0-4ff2-b7d0-bb78d4b7aa8a
96,1K,21:9,Landscape,1.7,1512,640,1512,640,true,2570,1088,2570,1088,true,a3a85583-2a30-4372-95a2-7300b00b8967
97,1K,21:9,Landscape,1.8,1424,608,1424,608,true,2563,1094,2563,1094,true,37fc6634-8d6e-4b5e-83a7-26c589f84e54
